cluster	Sheep_MAG	NHP	RUG	Uhgg	RGIG
clu_316	0	0	0	1	0
clu_317	0	0	0	1	0
clu_318	0	0	0	0	1
clu_319	0	0	1	0	0
clu_320	0	0	0	0	1
clu_321	1	0	0	0	0
clu_322	1	0	0	0	1
clu_323	0	0	0	1	0
clu_324	0	0	0	1	0
clu_325	0	0	0	1	0
clu_326	0	0	0	1	0
clu_327	0	1	0	1	0
clu_328	0	0	0	1	0
clu_329	0	0	0	0	1
clu_330	1	0	0	0	1
clu_331	1	0	0	0	0
clu_332	1	0	0	0	1
clu_333	1	0	0	0	0
clu_334	0	0	0	0	1
clu_335	0	0	0	0	1
clu_336	0	0	0	0	1
clu_337	0	0	0	0	1
clu_338	1	0	0	0	0
clu_339	1	0	0	0	0
clu_340	0	0	0	0	1
clu_341	1	0	0	0	0
clu_342	1	0	0	0	1
clu_343	0	0	0	0	1
clu_344	0	0	0	0	1
clu_345	1	0	0	0	0
clu_346	1	0	0	0	1
clu_347	1	0	0	0	1
clu_348	1	0	0	0	1
clu_349	0	0	0	0	1
clu_350	1	0	0	0	0
clu_351	1	0	0	0	0
clu_352	1	0	0	0	0
clu_353	0	0	0	0	1
clu_354	1	0	0	0	0
clu_355	0	0	0	0	1
clu_356	0	0	0	0	1
clu_357	1	0	0	0	1
clu_358	1	0	0	0	0
clu_359	1	0	0	0	0
clu_360	0	0	0	0	1
clu_361	1	0	0	0	0
clu_362	0	0	0	0	1
clu_363	1	0	0	0	0
clu_364	1	0	0	0	1
clu_365	1	0	0	0	1
clu_366	0	0	0	0	1
clu_367	1	0	0	0	0
clu_368	1	0	0	0	0
clu_369	0	0	0	0	1
clu_370	1	0	0	0	1
clu_371	1	0	0	0	1
clu_372	1	0	0	0	1
clu_373	0	0	0	0	1
clu_374	1	0	0	0	0
clu_375	1	0	0	0	0
clu_376	1	0	0	0	1
clu_377	0	0	0	0	1
clu_378	1	0	0	0	1
clu_379	0	0	0	0	1
clu_380	0	0	0	0	1
clu_381	0	0	0	0	1
clu_382	0	0	0	0	1
clu_383	0	0	0	0	1
clu_384	1	0	0	0	0
clu_385	0	0	0	1	0
clu_386	0	0	0	1	0
clu_387	0	0	0	1	0
clu_388	0	0	0	1	0
clu_389	0	1	0	0	0
clu_390	0	0	0	1	0
clu_391	1	0	0	0	0
clu_392	1	0	0	0	0
clu_393	0	0	0	0	1
clu_394	0	0	0	0	1
clu_395	0	0	0	1	0
clu_396	0	0	0	1	0
clu_397	0	0	0	0	1
clu_398	0	0	0	0	1
clu_399	0	0	0	0	1
clu_400	0	0	0	0	1
clu_401	0	0	0	0	1
clu_402	1	0	0	0	0
clu_403	0	0	0	0	1
clu_404	0	0	0	0	1
clu_405	0	0	0	0	1
clu_406	0	0	0	0	1
clu_407	1	0	0	0	1
clu_408	0	0	0	0	1
clu_409	1	0	0	0	0
clu_410	0	0	0	0	1
clu_411	1	0	0	0	0
clu_412	1	0	0	0	1
clu_413	0	0	0	0	1
clu_414	0	0	0	0	1
clu_415	0	0	0	0	1
clu_416	0	0	0	0	1
clu_417	1	0	0	0	0
clu_418	1	0	0	0	0
clu_419	1	0	0	0	0
clu_420	1	0	0	0	0
clu_421	1	0	0	0	1
clu_422	1	0	0	0	1
clu_423	0	0	0	0	1
clu_424	1	0	0	0	0
clu_425	1	0	0	0	0
clu_426	0	1	0	1	0
clu_427	0	1	0	0	0
clu_428	0	0	1	0	0
clu_429	0	0	1	0	0
clu_430	0	0	0	1	0
clu_431	1	0	0	0	0
clu_432	0	0	1	0	0
clu_433	0	0	1	0	0
clu_434	0	0	0	0	1
clu_435	0	0	0	0	1
clu_436	0	0	1	0	0
clu_437	0	0	0	0	1
clu_438	0	0	0	0	1
clu_439	0	0	0	0	1
clu_440	1	0	0	0	1
clu_441	0	0	0	0	1
clu_442	0	0	0	0	1
clu_443	0	0	1	0	0
clu_444	0	0	1	0	0
clu_445	0	0	1	0	0
clu_446	0	0	1	0	0
clu_447	0	0	1	0	0
clu_448	0	0	0	0	1
clu_449	0	0	1	0	0
clu_450	1	0	1	0	0
clu_451	1	0	0	0	0
clu_452	0	0	0	0	1
clu_453	0	1	0	0	0
clu_454	0	1	0	0	0
clu_455	0	0	1	0	0
clu_456	0	1	0	0	0
clu_457	0	1	0	1	0
clu_458	0	1	0	0	0
clu_459	0	1	0	0	0
clu_460	0	0	0	1	0
clu_461	0	1	0	0	0
clu_462	0	0	1	0	0
clu_463	0	0	0	0	1
clu_464	0	0	1	0	0
clu_465	1	0	0	0	0
clu_466	1	0	0	0	0
clu_467	1	0	0	0	0
clu_468	0	0	0	0	1
clu_469	0	0	0	0	1
clu_470	0	0	0	0	1
clu_471	0	0	0	0	1
clu_472	0	0	0	0	1
clu_473	0	0	1	0	1
clu_474	0	0	0	0	1
clu_475	0	0	0	0	1
clu_476	0	0	0	0	1
clu_477	1	0	1	0	0
clu_478	0	0	1	0	0
clu_479	0	0	0	0	1
clu_480	0	0	0	0	1
clu_481	1	0	0	0	1
clu_482	0	0	0	0	1
clu_483	1	0	0	0	0
clu_484	0	0	0	0	1
clu_485	1	0	0	0	0
clu_486	0	0	1	0	0
clu_487	0	0	0	0	1
clu_488	0	0	1	0	0
clu_489	1	0	0	0	1
clu_490	1	0	0	0	1
clu_491	0	0	1	0	0
clu_492	0	0	1	0	0
clu_493	0	0	0	0	1
clu_494	0	0	0	0	1
clu_495	0	0	0	0	1
clu_496	0	0	1	0	0
clu_497	0	0	1	0	0
clu_498	1	0	0	0	1
clu_499	0	0	1	0	0
clu_500	0	0	0	0	1
clu_501	0	0	0	0	1
clu_502	0	0	0	0	1
clu_503	0	0	0	0	1
clu_504	0	0	1	0	0
clu_505	0	0	0	0	1
clu_506	0	0	1	0	0
clu_507	0	0	0	0	1
clu_508	0	1	0	0	0
clu_509	0	0	0	0	1
clu_510	0	0	1	0	0
clu_511	0	0	0	1	0
clu_512	1	0	0	0	0
clu_513	1	0	0	0	0
clu_514	0	0	0	0	1
clu_515	0	0	0	0	1
clu_516	1	0	0	0	1
clu_517	0	1	0	0	0
clu_518	0	1	0	0	0
clu_519	0	1	0	0	0
clu_520	0	0	0	0	1
clu_521	0	0	0	0	1
clu_522	0	0	0	0	1
clu_523	1	0	0	0	0
clu_524	0	0	0	0	1
clu_525	0	0	0	0	1
clu_526	0	0	0	0	1
clu_527	0	0	0	0	1
clu_528	0	0	0	0	1
clu_529	0	0	1	0	1
clu_530	0	0	0	0	1
clu_531	0	0	0	0	1
clu_532	0	0	0	0	1
clu_533	1	0	0	0	0
clu_534	0	0	0	0	1
clu_535	1	0	0	0	1
clu_536	0	0	0	0	1
clu_537	0	0	0	0	1
clu_538	0	0	0	0	1
clu_539	0	0	1	0	0
clu_540	1	0	0	0	0
clu_541	0	0	0	0	1
clu_542	0	0	0	0	1
clu_543	0	0	1	0	0
clu_544	0	0	0	0	1
clu_545	0	0	0	0	1
clu_546	0	0	1	0	0
clu_547	0	0	0	0	1
clu_548	0	0	0	0	1
clu_549	0	0	0	0	1
clu_550	0	0	0	0	1
clu_551	0	0	0	0	1
clu_552	0	0	0	0	1
clu_553	0	0	0	0	1
clu_554	0	0	0	0	1
clu_555	0	0	1	0	0
clu_556	0	0	1	0	0
clu_557	0	0	1	0	0
clu_558	0	0	0	0	1
clu_559	0	0	1	0	0
clu_560	0	0	0	0	1
clu_561	0	0	1	0	0
clu_562	0	0	1	0	0
clu_563	0	0	0	0	1
clu_564	0	0	0	0	1
clu_565	0	0	0	1	0
clu_566	0	0	0	0	1
clu_567	0	0	0	0	1
clu_568	0	0	1	0	0
clu_569	0	0	0	0	1
clu_570	0	0	1	0	1
clu_571	0	0	1	0	0
clu_572	0	0	0	1	0
clu_573	0	0	0	1	0
clu_574	0	0	0	1	0
clu_575	0	0	0	1	0
clu_576	0	0	0	1	0
clu_577	1	0	0	0	0
clu_578	0	0	0	0	1
clu_579	0	0	0	0	1
clu_580	0	0	0	0	1
clu_581	0	0	0	0	1
clu_582	0	0	0	1	0
clu_583	0	0	0	0	1
clu_584	1	0	0	0	1
clu_585	0	0	0	0	1
clu_586	0	0	0	0	1
clu_587	0	0	0	0	1
clu_588	0	0	0	0	1
clu_589	0	0	0	0	1
clu_590	0	0	0	1	0
clu_591	0	1	0	0	0
clu_592	0	0	1	0	0
clu_593	0	1	0	1	0
clu_594	0	0	0	0	1
clu_595	0	0	0	0	1
clu_596	0	0	0	0	1
clu_597	0	0	0	0	1
clu_598	0	0	0	0	1
clu_599	0	0	0	0	1
clu_600	0	0	0	0	1
clu_601	0	0	0	0	1
clu_602	0	0	1	0	0
clu_603	0	0	0	0	1
clu_604	0	0	0	0	1
clu_605	0	0	0	0	1
clu_606	0	0	0	0	1
clu_607	0	0	0	0	1
clu_608	0	0	0	0	1
clu_609	0	0	0	0	1
clu_610	0	0	0	1	0
clu_611	0	0	0	0	1
clu_612	0	0	0	0	1
clu_613	0	0	0	0	1
clu_614	0	0	0	0	1
clu_615	0	0	0	0	1
clu_616	0	0	0	0	1
clu_617	0	0	1	0	0
clu_618	0	1	0	0	0
clu_619	0	1	0	0	0
clu_620	0	0	0	1	0
clu_621	0	0	0	1	0
clu_622	0	0	0	1	0
clu_623	0	0	0	1	0
clu_624	0	0	0	1	0
clu_625	0	0	0	1	0
clu_626	0	0	0	1	0
clu_627	0	0	1	0	1
clu_628	0	0	0	0	1
clu_629	0	0	0	0	1
clu_630	0	0	0	1	0
clu_631	0	0	0	1	0
clu_632	0	0	0	1	0
clu_633	0	1	0	0	0
clu_634	0	0	0	0	1
clu_635	0	0	0	0	1
clu_636	0	0	0	0	1
clu_637	0	0	0	0	1
clu_638	0	0	0	0	1
clu_639	1	0	0	0	0
clu_640	0	0	0	0	1
clu_641	1	0	0	0	0
clu_642	0	1	0	0	0
clu_643	0	1	0	0	0
clu_644	0	0	0	1	0
clu_645	0	0	0	1	0
clu_646	1	0	0	0	1
clu_647	1	0	0	0	0
clu_648	0	0	0	0	1
clu_649	0	0	0	0	1
clu_650	0	0	0	0	1
clu_651	0	0	0	0	1
clu_652	0	0	1	0	0
clu_653	0	0	0	0	1
clu_654	0	0	0	0	1
clu_655	0	0	0	0	1
clu_656	0	0	0	0	1
clu_657	0	0	0	0	1
clu_658	0	0	0	0	1
clu_659	0	0	0	0	1
clu_660	0	0	0	0	1
clu_661	0	0	0	0	1
clu_662	1	0	0	0	0
clu_663	0	0	0	0	1
clu_664	0	0	0	0	1
clu_665	1	0	0	0	0
clu_666	1	0	0	0	0
clu_667	1	0	0	0	0
clu_668	0	0	0	0	1
clu_669	1	0	0	0	1
clu_670	1	0	0	0	0
clu_671	1	0	0	0	0
clu_672	0	0	0	0	1
clu_673	0	0	0	0	1
clu_674	1	0	0	0	0
clu_675	0	0	0	0	1
clu_676	0	0	0	0	1
clu_677	0	0	0	0	1
clu_678	0	0	0	0	1
clu_679	0	0	0	0	1
clu_680	0	0	0	0	1
clu_681	0	0	0	0	1
clu_682	1	0	0	0	0
clu_683	0	0	0	0	1
clu_684	0	0	0	0	1
clu_685	1	0	0	0	1
clu_686	0	0	0	0	1
clu_687	0	0	0	0	1
clu_688	1	0	0	0	1
clu_689	0	0	0	0	1
clu_690	1	0	0	0	0
clu_691	0	0	0	0	1
clu_692	1	0	0	0	1
clu_693	0	0	0	0	1
clu_694	0	0	0	0	1
clu_695	1	0	0	0	0
clu_696	0	0	0	0	1
clu_697	0	0	0	0	1
clu_698	0	0	0	0	1
clu_699	1	0	0	0	1
clu_700	0	1	0	0	0
clu_701	0	0	0	0	1
clu_702	0	0	0	0	1
clu_703	1	0	0	0	1
clu_704	0	0	0	0	1
clu_705	0	0	0	0	1
clu_706	1	0	0	0	0
clu_707	0	0	0	0	1
clu_708	1	0	0	0	0
clu_709	1	0	0	0	1
clu_710	0	0	0	0	1
clu_711	0	0	0	0	1
clu_712	1	0	0	0	0
clu_713	0	0	0	0	1
clu_714	0	0	0	1	0
clu_715	0	0	0	0	1
clu_716	0	0	0	0	1
clu_717	1	0	0	0	1
clu_718	1	0	0	0	0
clu_719	0	0	0	0	1
clu_720	1	0	0	0	0
clu_721	1	0	0	0	0
clu_722	1	0	0	0	0
clu_723	1	0	0	0	0
clu_724	0	0	0	0	1
clu_725	1	0	0	0	0
clu_726	0	0	0	1	0
clu_727	1	0	0	0	0
clu_728	0	0	0	0	1
clu_729	0	0	0	0	1
clu_730	0	0	0	1	0
clu_731	0	0	0	0	1
clu_732	1	0	0	0	0
clu_733	0	0	0	0	1
clu_734	1	0	0	0	0
clu_735	1	0	0	0	0
clu_736	1	0	0	0	0
clu_737	1	0	0	0	0
clu_738	1	0	0	0	1
clu_739	0	0	0	0	1
clu_740	0	0	0	1	0
clu_741	1	0	0	0	0
clu_742	0	0	0	0	1
clu_743	1	0	0	0	0
clu_744	0	1	0	0	0
clu_745	1	0	0	0	0
clu_746	1	0	0	0	0
clu_747	1	0	0	0	1
clu_748	1	0	0	0	0
clu_749	1	0	0	0	0
clu_750	1	0	0	0	0
clu_751	0	0	0	0	1
clu_752	1	0	0	0	0
clu_753	0	0	0	0	1
clu_754	1	0	0	0	0
clu_755	0	0	0	0	1
clu_756	1	0	0	0	0
clu_757	0	0	0	0	1
clu_758	0	0	0	0	1
clu_759	0	0	0	0	1
clu_760	1	0	0	0	0
clu_761	1	0	0	0	0
clu_762	1	0	0	0	0
clu_763	0	0	0	0	1
clu_764	0	0	0	0	1
clu_765	0	0	0	0	1
clu_766	0	0	0	0	1
clu_767	1	0	0	0	0
clu_768	0	0	0	0	1
clu_769	0	0	0	1	0
clu_770	0	0	0	1	0
clu_771	0	0	0	1	0
clu_772	0	0	0	1	0
clu_773	0	0	0	1	0
clu_774	0	0	0	1	0
clu_775	0	0	0	1	1
clu_776	0	0	0	1	0
clu_777	0	0	0	0	1
clu_778	0	0	0	1	0
clu_779	1	0	0	0	0
clu_780	0	0	0	0	1
clu_781	0	0	0	0	1
clu_782	0	1	0	1	0
clu_783	0	1	0	1	0
clu_784	0	0	0	1	0
clu_785	0	0	0	1	0
clu_786	0	1	0	0	0
clu_787	1	0	0	0	0
clu_788	0	0	0	0	1
clu_789	0	0	0	1	0
clu_790	0	0	0	1	0
clu_791	0	0	0	1	0
clu_792	0	0	0	1	0
clu_793	0	0	0	1	0
clu_794	0	0	0	1	0
clu_795	0	0	0	1	0
clu_796	0	0	0	1	0
clu_797	0	0	0	0	1
clu_798	1	0	0	0	0
clu_799	0	0	0	0	1
clu_800	1	0	0	0	0
clu_801	0	0	0	0	1
clu_802	0	0	0	1	0
clu_803	0	0	0	1	0
clu_804	0	0	0	1	0
clu_805	0	1	0	0	0
clu_806	1	0	0	0	0
clu_807	1	0	0	0	1
clu_808	1	0	0	0	0
clu_809	1	0	0	0	0
clu_810	0	0	0	0	1
clu_811	1	0	0	0	1
clu_812	1	0	0	0	0
clu_813	0	0	0	0	1
clu_814	1	0	0	0	0
clu_815	0	0	0	0	1
clu_816	0	0	1	1	0
clu_817	0	0	0	1	0
clu_818	0	0	0	1	0
clu_819	0	0	0	0	1
clu_820	0	0	0	0	1
clu_821	0	0	0	1	0
clu_822	0	0	0	1	0
clu_823	0	0	0	1	0
clu_824	0	0	0	1	0
clu_825	0	0	0	1	0
clu_826	0	0	0	1	0
clu_827	0	0	0	1	0
clu_828	0	0	0	1	0
clu_829	0	0	0	1	0
clu_830	0	0	0	1	0
clu_831	0	0	0	1	0
clu_832	0	0	0	1	0
clu_833	0	0	0	1	0
clu_834	0	0	0	1	0
clu_835	0	0	0	1	0
clu_836	0	0	0	1	0
clu_837	0	0	0	1	0
clu_838	0	0	0	1	0
clu_839	0	0	0	1	0
clu_840	0	0	0	1	0
clu_841	0	0	0	0	1
clu_842	0	0	1	0	0
clu_843	0	0	0	0	1
clu_844	0	0	0	0	1
clu_845	0	0	0	0	1
clu_846	0	0	0	0	1
clu_847	0	0	0	0	1
clu_848	0	0	0	1	0
clu_849	0	1	0	0	0
clu_850	0	0	0	1	0
clu_851	0	0	0	1	0
clu_852	0	0	0	1	0
clu_853	1	0	0	0	0
clu_854	0	0	0	1	0
clu_855	1	0	0	0	1
clu_856	0	0	0	1	0
clu_857	0	0	0	1	0
clu_858	1	0	0	0	0
clu_859	0	0	0	0	1
clu_860	1	0	0	0	0
clu_861	1	0	0	0	0
clu_862	1	0	0	0	0
clu_863	1	0	0	0	0
clu_864	1	0	0	0	0
clu_865	1	0	0	0	0
clu_866	1	0	0	0	0
clu_867	0	0	0	0	1
clu_868	0	0	0	1	0
clu_869	0	0	0	1	0
clu_870	0	1	0	0	0
clu_871	0	1	0	0	0
clu_872	0	1	0	0	0
clu_873	1	0	0	0	0
clu_874	1	0	0	0	1
clu_875	1	0	0	0	1
clu_876	0	0	0	0	1
clu_877	0	0	0	0	1
clu_878	1	0	0	0	1
clu_879	0	1	0	0	0
clu_880	0	0	0	0	1
clu_881	0	0	0	0	1
clu_882	0	0	0	0	1
clu_883	0	0	0	0	1
clu_884	0	0	0	1	0
clu_885	1	0	0	0	1
clu_886	1	0	0	1	0
clu_887	0	0	0	1	0
clu_888	0	0	0	1	0
clu_889	0	0	0	1	0
clu_890	0	0	0	1	0
clu_891	0	0	0	1	0
