Estimated genomic size	GC content	Phylum
2.083964027	51.63	Bacteroidetes
3.461183507	47.7	Bacteroidetes
2.26895645	46.35	Bacteroidetes
2.470979004	49.71	Bacteroidetes
2.35454595	46.16	Bacteroidetes
1.93979286	51.86	Bacteroidetes
2.145712872	55.74	Bacteroidetes
2.799767849	48.09	Bacteroidetes
2.392544718	49.69	Bacteroidetes
2.63404455	47.87	Bacteroidetes
2.007856	47.01	Bacteroidetes
2.115237547	49.8	Bacteroidetes
2.150258023	46.8	Bacteroidetes
1.839585187	46.28	Bacteroidetes
2.106998433	48.2	Bacteroidetes
2.466769555	57.52	Bacteroidetes
2.682433384	47.95	Bacteroidetes
1.973385878	40.3	Bacteroidetes
1.971470467	51.51	Bacteroidetes
2.174148199	46.37	Bacteroidetes
2.273070823	49.7	Bacteroidetes
2.675094999	46.16	Bacteroidetes
2.67728727	48.05	Bacteroidetes
2.808845565	47.02	Bacteroidetes
1.839411155	47.07	Bacteroidetes
1.926186583	54.37	Bacteroidetes
1.712049142	51.5	Bacteroidetes
1.962675528	56.15	Bacteroidetes
2.00516646	56.08	Bacteroidetes
1.449049829	45.15	Bacteroidetes
1.888561525	50	Bacteroidetes
2.49241363	46.6	Bacteroidetes
1.919072834	53.2	Bacteroidetes
2.02804023	52.81	Bacteroidetes
3.071534268	46.27	Bacteroidetes
2.31722268	52.12	Bacteroidetes
1.960770289	43.83	Bacteroidetes
1.89984119	46.86	Bacteroidetes
2.200921279	47.42	Bacteroidetes
2.0001771	51.3	Bacteroidetes
2.948221747	48.27	Bacteroidetes
2.437102408	53.86	Bacteroidetes
2.124783194	54.29	Bacteroidetes
2.023445206	51.48	Bacteroidetes
1.983974307	48.57	Bacteroidetes
1.962596514	51.39	Bacteroidetes
2.152959361	47.81	Bacteroidetes
2.464566667	50.35	Bacteroidetes
2.055317823	51.59	Bacteroidetes
1.843622821	47.1	Bacteroidetes
1.894719215	49.69	Bacteroidetes
2.049197183	50.23	Bacteroidetes
1.954706613	47.35	Bacteroidetes
2.149570591	43.41	Bacteroidetes
2.852879175	47.18	Bacteroidetes
1.870413634	48.13	Bacteroidetes
2.133828689	50.44	Bacteroidetes
1.975870397	48.88	Bacteroidetes
1.761979003	48.63	Bacteroidetes
2.384112352	46.48	Bacteroidetes
2.35010018	48.58	Bacteroidetes
2.569107884	49.74	Bacteroidetes
1.84321624	53.24	Bacteroidetes
1.769247112	51.26	Bacteroidetes
1.769363656	48.35	Bacteroidetes
1.893302054	51.55	Bacteroidetes
2.16464431	45.15	Bacteroidetes
2.285215439	48.41	Bacteroidetes
2.002973782	51.65	Bacteroidetes
2.043940833	50.04	Bacteroidetes
2.160437082	47.83	Bacteroidetes
1.776883513	46.18	Bacteroidetes
2.097228052	49.2	Bacteroidetes
1.988428807	45.55	Bacteroidetes
1.769056	52.13	Bacteroidetes
2.355591937	48.84	Bacteroidetes
2.155635237	40.8	Bacteroidetes
2.375023633	48.71	Bacteroidetes
1.872048657	48.75	Bacteroidetes
2.08058072	53.74	Bacteroidetes
1.942751958	50.13	Bacteroidetes
3.018475795	44.73	Bacteroidetes
1.888815048	51.28	Bacteroidetes
2.114016037	50.64	Bacteroidetes
1.927674922	49.78	Bacteroidetes
2.493387622	49.08	Bacteroidetes
2.041526652	54.43	Bacteroidetes
2.580774671	48.81	Bacteroidetes
2.088636964	56.32	Bacteroidetes
2.160958276	46.07	Bacteroidetes
2.114059269	48.9	Bacteroidetes
