KO,p_value,p_adj,xz_mean,fxz_mean,foldchange,direction,zs,rzs
K15526,0.000839923716331821,0.00898898015913279,7.94394e-06,6.2372e-09,1273.63881228756,1,2.61247296452743,2.61247296452743
K24120,0.000839923716331821,0.00898898015913279,7.94394e-06,6.2372e-09,1273.63881228756,1,2.61247296452743,2.61247296452743
K19311,2.8068993586235e-05,0.00203084366558185,7.79964e-06,5.5464e-09,1406.25270445695,1,3.08568423484935,3.08568423484935
K13570,0.00276479586824414,0.0185125234913965,7.18312e-06,1.261036e-07,56.9620534227413,1,2.35520431972623,2.35520431972623
K00485,5.61379871724699e-05,0.00203084366558185,7.797608e-06,4.5584e-09,1710.60196560197,1,3.08568423484935,3.08568423484935
K10215,5.61379871724699e-05,0.00203084366558185,7.797608e-06,4.5584e-09,1710.60196560197,1,3.08568423484935,3.08568423484935
K21193,5.61379871724699e-05,0.00203084366558185,7.78974e-06,5.91e-09,1318.06091370558,1,3.08568423484935,3.08568423484935
K17883,0.00276479586824414,0.0185125234913965,7.56046e-06,4.4826e-08,168.662383438183,1,2.35520431972623,2.35520431972623
K18230,0.00755281009763692,0.0342329803381293,7.46996e-06,3.97288e-08,188.023801373311,1,2.11731667840585,2.11731667840585
K16163,0.00276479586824414,0.0185125234913965,7.471256e-06,3.80032e-08,196.595444594139,1,2.35520431972623,2.35520431972623
K00523,0.000839923716331821,0.00898898015913279,7.62341e-06,4.2344e-09,1800.3518798413,1,2.61247296452743,2.61247296452743
K01970,0.000839923716331821,0.00898898015913279,7.62341e-06,4.2344e-09,1800.3518798413,1,2.61247296452743,2.61247296452743
K11177,0.000839923716331821,0.00898898015913279,7.62341e-06,4.2344e-09,1800.3518798413,1,2.61247296452743,2.61247296452743
K11779,0.000839923716331821,0.00898898015913279,7.62341e-06,4.2344e-09,1800.3518798413,1,2.61247296452743,2.61247296452743
K18294,0.000839923716331821,0.00898898015913279,7.62341e-06,4.2344e-09,1800.3518798413,1,2.61247296452743,2.61247296452743
K21167,0.000839923716331821,0.00898898015913279,7.62341e-06,4.2344e-09,1800.3518798413,1,2.61247296452743,2.61247296452743
K06995,5.61379871724699e-05,0.00203084366558185,7.469432e-06,3.9084e-09,1911.12271006038,1,3.08568423484935,3.08568423484935
K00255,5.61379871724699e-05,0.00203084366558185,7.469432e-06,3.9084e-09,1911.12271006038,1,3.08568423484935,3.08568423484935
K01555,5.61379871724699e-05,0.00203084366558185,7.469432e-06,3.9084e-09,1911.12271006038,1,3.08568423484935,3.08568423484935
K22336,5.61379871724699e-05,0.00203084366558185,7.469432e-06,3.9084e-09,1911.12271006038,1,3.08568423484935,3.08568423484935
K17763,0.00182904898516833,0.01531853030022,6.6718e-06,1.362852e-07,48.9546920722133,1,2.42475951689163,2.42475951689163
K07682,0.000842069807587049,0.00898898015913279,7.14522e-06,4.25888e-08,167.772278157638,1,2.61247296452743,2.61247296452743
K11611,0.00116486323382875,0.0113211956581317,7.1465e-06,4.08988e-08,174.736178078574,1,2.53262512332187,2.53262512332187
K10242,0.00116486323382875,0.0113211956581317,4.4742e-06,5.6848e-07,7.87046158176189,1,2.53262512332187,2.53262512332187
K01028,0.0130941855079786,0.0488158232630462,6.757908e-06,1.033604e-07,65.3819838158521,1,1.97019677292199,1.97019677292199
K01029,0.0130941855079786,0.0488158232630462,6.757908e-06,1.033604e-07,65.3819838158521,1,1.97019677292199,1.97019677292199
K11610,0.0071435588676968,0.0330294491078005,6.75296e-06,9.86636e-08,68.4442894846732,1,2.13172513692291,2.13172513692291
K06860,0.000686420440563159,0.00898898015913279,7.14446e-06,6.7988e-09,1050.8413249397,1,2.61247296452743,2.61247296452743
K21607,5.61379871724699e-05,0.00203084366558185,7.150152e-06,4.4632e-09,1602.02366015415,1,3.08568423484935,3.08568423484935
K23138,5.61379871724699e-05,0.00203084366558185,7.150152e-06,4.4632e-09,1602.02366015415,1,3.08568423484935,3.08568423484935
K09736,0.000266655439069232,0.00580402674341777,3.412e-06,7.4244e-07,4.5956575615538,1,2.75865221762251,2.75865221762251
K07199,0.0104634973398284,0.0424850448649632,6.7008e-08,1.3955756e-06,20.8269997612225,-1,2.02873739525314,-2.02873739525314
K06720,0.000839923716331821,0.00898898015913279,6.968702e-06,5.4868e-09,1270.08493110739,1,2.61247296452743,2.61247296452743
K10764,0.000839923716331821,0.00898898015913279,6.968702e-06,5.4868e-09,1270.08493110739,1,2.61247296452743,2.61247296452743
K11954,0.0104634973398284,0.0424850448649632,6.694152e-06,6.37564e-08,104.99576513103,1,2.02873739525314,2.02873739525314
K11955,0.0104634973398284,0.0424850448649632,6.694152e-06,6.37564e-08,104.99576513103,1,2.02873739525314,2.02873739525314
K12483,0.0071435588676968,0.0330294491078005,4.4482e-08,1.38946e-06,31.2364551953599,-1,2.13172513692291,-2.13172513692291
K00154,0.00454717696097006,0.0251640515389661,6.668534e-06,6.12468e-08,108.879712899286,1,2.23887498490255,2.23887498490255
K10237,2.8068993586235e-05,0.00203084366558185,6.815e-06,1.03972e-08,655.464932866541,1,3.08568423484935,3.08568423484935
K14337,0.00454717696097006,0.0251640515389661,6.670022e-06,3.76036e-08,177.377219202417,1,2.23887498490255,2.23887498490255
K00479,5.61379871724699e-05,0.00203084366558185,6.822156e-06,3.8108e-09,1790.21622756377,1,3.08568423484935,3.08568423484935
K00480,5.61379871724699e-05,0.00203084366558185,6.822156e-06,3.8108e-09,1790.21622756377,1,3.08568423484935,3.08568423484935
K03921,5.61379871724699e-05,0.00203084366558185,6.822156e-06,3.8108e-09,1790.21622756377,1,3.08568423484935,3.08568423484935
K14952,5.61379871724699e-05,0.00203084366558185,6.822156e-06,3.8108e-09,1790.21622756377,1,3.08568423484935,3.08568423484935
K21685,5.61379871724699e-05,0.00203084366558185,6.822156e-06,3.8108e-09,1790.21622756377,1,3.08568423484935,3.08568423484935
K23086,5.61379871724699e-05,0.00203084366558185,6.822156e-06,3.8108e-09,1790.21622756377,1,3.08568423484935,3.08568423484935
K23555,0.00102476947964371,0.0108650593133459,6.814504e-06,5.1592e-09,1320.84509226237,1,2.54700912162549,2.54700912162549
K11956,0.00881366398607778,0.0373997893509094,6.519954e-06,6.34416e-08,102.770957857305,1,2.08137287640961,2.08137287640961
K13687,0.00182904898516833,0.01531853030022,6.514186e-06,4.607e-08,141.397568916866,1,2.42475951689163,2.42475951689163
K10866,0.0104634973398284,0.0424850448649632,6.514728e-06,3.89792e-08,167.133445529924,1,2.02873739525314,2.02873739525314
K15733,0.0104634973398284,0.0424850448649632,6.514728e-06,3.89792e-08,167.133445529924,1,2.02873739525314,2.02873739525314
K14339,0.00454717696097006,0.0251640515389661,6.516024e-06,3.72424e-08,174.962515842158,1,2.23887498490255,2.23887498490255
K14743,0.000686420440563159,0.00898898015913279,6.67026e-06,4.472e-09,1491.56082289803,1,2.61247296452743,2.61247296452743
K00280,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K00365,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K01477,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K01616,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K03822,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K04756,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K05375,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K05917,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K06945,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K07110,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K07785,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K09828,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K10531,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K10533,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K11386,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K11601,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
K11602,5.61379871724699e-05,0.00203084366558185,6.668178e-06,3.4836e-09,1914.16293489494,1,3.08568423484935,3.08568423484935
