SGBs	phylum	AH	GX	JL	SD	SX	XZ
AH4.bin165	Firmicutes	0	0	0	0	0	0
AH4.bin166	Firmicutes	0	0	0	0	0	0
AH4.bin167	Firmicutes	0	1	0	1	0	0
AH4.bin169	Firmicutes	1	0	0	1	0	1
AH4.bin170	Firmicutes	1	1	0	0	0	0
AH4.bin171	Firmicutes	0	0	0	1	0	0
AH4.bin173	Firmicutes	0	0	0	0	0	0
AH4.bin174	Firmicutes	0	0	0	0	0	0
AH4.bin175	Firmicutes	0	0	0	0	0	0
AH4.bin177	Firmicutes	1	0	0	0	0	0
AH4.bin178	Firmicutes	1	0	1	1	1	0
AH4.bin180	Firmicutes	1	1	1	1	1	1
AH4.bin182	Firmicutes	1	0	0	1	0	0
AH4.bin183	Firmicutes	1	1	1	1	0	1
AH4.bin185	Firmicutes	0	0	0	0	0	0
AH4.bin186	Firmicutes	1	0	1	0	0	0
AH4.bin187	Firmicutes	1	1	1	1	1	1
AH4.bin188	Firmicutes	1	1	1	1	1	0
AH4.bin192	Firmicutes	1	0	0	0	0	0
AH4.bin194	Proteobacteria	0	0	0	0	0	0
AH4.bin195	Firmicutes	0	0	1	0	1	0
AH4.bin196	Firmicutes	0	0	0	0	0	0
AH5.bin002	Euryarchaeota	1	1	1	1	1	1
AH5.bin004	Firmicutes	0	0	0	0	0	0
AH5.bin005	Firmicutes	1	1	0	0	0	1
AH5.bin006	Firmicutes	0	0	0	0	0	0
AH5.bin007	Firmicutes	1	0	1	0	1	0
AH5.bin008	Firmicutes	1	1	1	1	1	1
AH5.bin009	Firmicutes	0	1	0	0	0	1
AH5.bin010	Firmicutes	0	0	0	0	0	0
AH5.bin012	Firmicutes	0	0	1	0	0	0
AH5.bin013	Firmicutes	0	0	0	0	0	1
AH5.bin014	Firmicutes	1	1	1	1	1	1
AH5.bin015	Firmicutes	1	1	0	0	0	1
AH5.bin017	Firmicutes	1	0	0	1	0	1
AH5.bin019	Firmicutes	1	1	0	1	1	1
AH5.bin020	Firmicutes	1	1	1	1	1	1
AH5.bin021	Firmicutes	0	0	0	0	0	0
AH5.bin023	Firmicutes	0	0	0	0	0	1
AH5.bin024	Firmicutes	1	0	0	1	0	0
AH5.bin025	Firmicutes	1	1	1	1	1	1
AH5.bin027	Firmicutes	0	0	0	0	0	0
AH5.bin029	Firmicutes	1	1	1	1	1	1
AH5.bin031	Firmicutes	1	1	1	1	1	1
AH5.bin032	Firmicutes	0	0	0	0	0	0
AH5.bin034	Firmicutes	0	1	0	0	1	1
AH5.bin036	Firmicutes	1	1	0	1	1	1
AH5.bin037	Firmicutes	1	1	1	1	1	1
AH5.bin038	Firmicutes	0	1	0	0	0	0
AH5.bin039	Firmicutes	1	1	1	1	1	1
AH5.bin040	Firmicutes	1	1	0	0	1	0
AH5.bin041	Bacteroidetes	0	0	0	0	0	0
AH5.bin043	Proteobacteria	1	1	0	1	1	0
AH5.bin046	Firmicutes	1	1	0	0	0	0
AH5.bin047	Firmicutes	0	0	0	0	0	0
AH5.bin050	Firmicutes	0	0	1	0	0	0
AH5.bin051	Bacteroidetes	0	0	0	0	0	0
AH5.bin052	Firmicutes	1	1	0	1	1	1
AH5.bin053	Firmicutes	0	1	0	1	0	1
AH5.bin054	Actinobacteria	0	0	0	0	1	1
AH5.bin056	Firmicutes	1	1	1	1	1	1
AH5.bin057	Firmicutes	0	0	0	0	0	0
AH5.bin058	Firmicutes	0	0	0	0	0	0
AH5.bin061	Bacteroidetes	1	1	1	1	1	1
AH5.bin062	Firmicutes	1	1	1	1	1	0
AH5.bin063	Firmicutes	1	0	1	1	0	0
AH5.bin064	Firmicutes	1	0	0	1	0	0
AH5.bin065	Firmicutes	0	1	0	0	0	0
AH5.bin066	Firmicutes	1	0	0	1	0	0
AH5.bin068	Firmicutes	1	1	1	0	1	1
AH5.bin069	Bacteroidetes	0	0	0	0	0	0
AH5.bin070	Firmicutes	1	1	0	1	1	1
AH5.bin071	Firmicutes	1	0	0	0	0	0
AH5.bin072	Firmicutes	1	1	1	1	1	1
AH5.bin073	Firmicutes	1	1	1	1	0	1
AH5.bin074	Firmicutes	1	0	0	1	1	1
AH5.bin076	Firmicutes	1	0	0	1	1	1
AH5.bin077	Firmicutes	1	0	0	0	1	0
AH5.bin078	Bacteroidetes	1	0	0	0	0	0
AH5.bin080	Firmicutes	0	0	1	0	0	0
AH5.bin082	Firmicutes	1	1	1	1	1	1
AH5.bin083	Firmicutes	1	0	1	1	1	1
AH5.bin084	Chlamydiae	0	0	0	0	0	0
AH5.bin087	Firmicutes	1	1	1	1	1	1
AH5.bin091	Firmicutes	0	0	0	0	0	0
AH5.bin092	Firmicutes	1	0	0	0	0	0
AH5.bin093	Firmicutes	0	0	0	0	0	0
AH5.bin094	Firmicutes	1	1	1	0	1	0
AH5.bin095	Firmicutes	1	1	1	1	1	1
AH5.bin096	Bacteroidetes	0	0	0	0	0	0
AH5.bin098	Firmicutes	1	0	0	0	0	1
AH5.bin099	Firmicutes	1	1	1	1	1	1
AH5.bin100	Firmicutes	0	0	0	0	0	0
AH5.bin101	Firmicutes	0	0	0	0	0	0
AH5.bin103	Proteobacteria	0	0	0	0	0	0
AH5.bin104	Firmicutes	0	1	1	0	1	0
AH5.bin105	Firmicutes	0	1	0	0	0	0
AH5.bin108	Bacteroidetes	1	1	1	1	1	1
AH5.bin109	Firmicutes	0	0	0	0	0	1
AH5.bin110	Firmicutes	1	1	1	0	1	1
AH5.bin111	Firmicutes	0	0	0	0	0	0
AH5.bin114	Firmicutes	1	1	1	1	0	0
AH5.bin115	Firmicutes	1	0	0	0	0	0
AH5.bin116	Firmicutes	0	0	0	0	0	0
AH5.bin117	Firmicutes	0	1	0	0	0	1
AH5.bin118	Bacteroidetes	1	1	1	1	1	1
AH5.bin120	Firmicutes	1	1	1	1	1	1
AH5.bin121	Firmicutes	0	0	0	0	0	0
AH5.bin122	Euryarchaeota	0	0	0	0	0	0
AH5.bin123	Firmicutes	1	1	1	1	1	1
AH5.bin125	Firmicutes	1	1	1	1	0	1
AH5.bin127	Bacteroidetes	0	0	0	0	0	0
AH5.bin128	Firmicutes	0	0	0	0	0	1
AH5.bin130	Firmicutes	1	0	0	1	0	0
AH5.bin131	Firmicutes	0	0	0	0	0	0
AH5.bin134	Firmicutes	1	1	1	1	1	1
AH5.bin135	Firmicutes	0	0	0	1	1	1
AH5.bin136	Firmicutes	0	0	0	0	0	0
AH5.bin137	Firmicutes	1	1	1	1	1	1
AH5.bin138	Firmicutes	0	0	0	0	0	0
AH5.bin140	Firmicutes	1	1	1	1	1	1
AH5.bin141	Actinobacteria	0	0	0	0	0	0
AH5.bin142	Firmicutes	1	0	1	1	0	0
AH5.bin145	Firmicutes	1	1	0	1	0	1
AH5.bin147	Firmicutes	1	1	1	1	1	1
AH5.bin148	Firmicutes	0	1	0	0	0	0
AH5.bin149	Firmicutes	0	0	0	0	0	0
AH5.bin152	Firmicutes	1	0	1	1	1	0
AH5.bin153	Firmicutes	1	0	1	0	1	1
AH5.bin154	Firmicutes	0	0	0	0	0	0
AH5.bin157	Firmicutes	0	0	0	0	0	0
AH5.bin159	Firmicutes	1	1	0	1	1	1
AH5.bin163	Firmicutes	0	0	0	0	0	0
AH5.bin164	Firmicutes	0	0	0	0	0	0
AH5.bin165	Bacteroidetes	1	1	1	1	1	1
AH5.bin166	Firmicutes	0	0	0	1	0	0
AH5.bin167	Firmicutes	1	1	1	1	1	1
AH5.bin168	Firmicutes	1	0	0	1	0	0
AH5.bin169	Firmicutes	1	1	1	1	1	1
AH5.bin172	Firmicutes	0	0	0	0	0	0
AH5.bin173	Firmicutes	1	1	1	1	1	0
GX1.bin005	Firmicutes	0	1	0	0	0	0
GX1.bin006	Firmicutes	0	0	0	0	0	0
GX1.bin010	Planctomycetes	0	1	0	1	0	1
GX1.bin011	Firmicutes	0	0	0	0	0	0
GX1.bin012	Firmicutes	1	0	1	0	0	0
GX1.bin013	Firmicutes	0	1	0	0	0	1
GX1.bin017	Firmicutes	0	1	0	0	0	0
GX1.bin018	Firmicutes	0	0	0	0	0	0
GX1.bin019	Firmicutes	0	1	0	0	0	0
GX1.bin026	Firmicutes	0	1	0	0	0	0
GX1.bin027	Firmicutes	0	1	0	0	0	0
GX1.bin031	Firmicutes	0	1	0	0	0	0
GX1.bin035	Firmicutes	0	0	0	0	0	0
GX1.bin038	Bacteroidetes	0	1	0	0	1	0
GX1.bin040	Firmicutes	0	1	0	0	0	0
GX1.bin042	Firmicutes	0	0	0	0	0	0
GX1.bin044	Firmicutes	0	1	0	0	0	0
GX1.bin047	Firmicutes	0	1	0	0	0	0
GX1.bin048	Firmicutes	0	0	0	0	0	0
GX1.bin049	Verrucomicrobia	0	0	0	0	0	0
GX1.bin054	Firmicutes	1	1	0	1	0	1
GX1.bin055	Firmicutes	0	1	0	0	0	0
GX1.bin056	Firmicutes	0	0	0	0	0	0
GX1.bin058	Firmicutes	1	1	1	1	1	1
GX1.bin065	Firmicutes	1	1	1	1	1	1
GX1.bin076	Firmicutes	0	1	1	0	0	0
GX1.bin078	Firmicutes	0	0	0	0	0	0
GX1.bin080	Firmicutes	1	1	0	1	0	1
GX1.bin082	Firmicutes	1	1	1	0	0	0
GX1.bin083	Firmicutes	0	1	0	0	0	0
GX1.bin087	Firmicutes	1	1	0	1	0	0
GX1.bin088	Firmicutes	0	0	0	0	0	0
GX1.bin089	Firmicutes	0	1	0	0	0	0
GX1.bin093	Firmicutes	1	1	1	1	1	1
GX1.bin095	Firmicutes	0	0	0	0	0	0
GX1.bin097	Spirochaetes	0	1	0	1	0	0
GX1.bin098	Firmicutes	0	1	0	0	0	0
GX1.bin099	Actinobacteria	0	1	0	0	0	0
GX1.bin107	Firmicutes	1	1	1	1	1	1
GX1.bin109	Firmicutes	0	1	0	0	0	0
GX1.bin111	Firmicutes	1	1	0	0	1	1
GX1.bin112	Bacteroidetes	1	1	1	1	0	1
GX1.bin113	Firmicutes	0	1	0	0	0	0
GX1.bin116	Firmicutes	0	1	0	0	0	0
GX1.bin119	Firmicutes	0	1	0	0	0	0
GX1.bin125	Proteobacteria	1	1	1	1	1	0
GX1.bin126	Firmicutes	0	1	0	0	0	0
GX1.bin127	Firmicutes	0	1	0	0	0	0
GX1.bin131	Firmicutes	0	1	0	0	0	0
GX1.bin132	Firmicutes	0	1	0	0	0	1
GX1.bin134	Firmicutes	0	1	0	1	0	0
GX1.bin136	Firmicutes	0	0	0	0	0	0
GX1.bin141	Firmicutes	1	1	0	1	1	1
GX1.bin143	Bacteroidetes	0	1	0	0	0	0
GX1.bin145	Firmicutes	0	1	0	1	0	1
GX1.bin146	Candidatus Saccharibacteria	0	1	0	0	0	0
GX1.bin150	Firmicutes	0	1	0	0	0	0
GX1.bin151	Bacteroidetes	0	1	1	0	1	0
GX1.bin155	Firmicutes	0	0	0	0	1	0
GX1.bin157	Firmicutes	0	0	0	0	0	0
GX1.bin159	Firmicutes	0	1	0	0	0	1
GX1.bin166	Firmicutes	0	1	0	0	0	0
GX1.bin167	Firmicutes	0	1	0	0	0	1
GX1.bin169	Firmicutes	0	1	0	0	0	0
GX1.bin170	Firmicutes	0	1	0	0	0	0
GX1.bin172	Firmicutes	0	1	0	0	0	1
GX1.bin173	Firmicutes	0	1	0	0	0	0
GX2.bin003	Firmicutes	0	1	0	0	0	0
GX2.bin005	Firmicutes	0	0	0	0	0	0
GX2.bin006	Firmicutes	0	1	0	0	0	1
GX2.bin007	Firmicutes	0	0	0	0	0	0
GX2.bin008	Euryarchaeota	0	0	0	0	0	0
GX2.bin009	Firmicutes	0	0	0	0	0	0
GX2.bin010	Firmicutes	0	1	0	0	0	0
GX2.bin011	Firmicutes	0	0	0	0	0	0
GX2.bin012	Bacteroidetes	1	1	1	1	1	1
GX2.bin014	Actinobacteria	0	1	0	0	0	1
GX2.bin015	Candidatus Saccharibacteria	0	0	0	0	0	0
GX2.bin018	Candidatus Melainabacteria	0	0	0	0	0	0
GX2.bin019	Proteobacteria	0	0	0	0	0	0
GX2.bin022	Firmicutes	0	0	0	0	0	0
GX2.bin023	Firmicutes	0	1	0	0	0	0
GX2.bin024	Firmicutes	1	1	0	0	0	0
GX2.bin025	Firmicutes	1	1	0	0	0	0
GX2.bin026	Firmicutes	0	1	0	0	1	1
GX2.bin028	Firmicutes	0	1	0	0	0	0
GX2.bin029	Firmicutes	0	0	0	0	0	0
GX2.bin032	Actinobacteria	0	0	0	0	0	0
GX2.bin033	Elusimicrobia	0	0	0	0	0	0
GX2.bin034	Bacteroidetes	0	0	0	0	0	0
GX2.bin035	Firmicutes	0	1	1	0	0	0
GX2.bin036	Bacteroidetes	0	1	1	1	0	0
GX2.bin037	Euryarchaeota	0	0	0	0	0	0
GX2.bin038	Firmicutes	0	0	0	0	0	0
GX2.bin040	Firmicutes	0	1	0	0	0	0
GX2.bin041	Firmicutes	0	1	0	0	0	1
GX2.bin043	Firmicutes	0	1	0	0	0	0
GX2.bin044	Candidatus Saccharibacteria	0	0	0	0	0	0
GX2.bin046	Firmicutes	0	0	0	0	0	0
GX2.bin048	Firmicutes	0	0	0	0	0	0
GX2.bin050	Firmicutes	1	1	1	1	1	1
GX2.bin051	Firmicutes	0	1	0	0	0	0
GX2.bin052	Firmicutes	0	1	0	0	0	0
GX2.bin053	Firmicutes	0	1	0	1	1	0
GX2.bin054	Firmicutes	0	1	0	0	0	0
GX2.bin055	Firmicutes	0	1	0	1	0	0
GX2.bin057	Candidatus Saccharibacteria	0	0	0	0	0	0
GX2.bin058	Firmicutes	0	1	0	0	0	0
GX2.bin060	Firmicutes	0	1	0	0	0	0
GX2.bin061	Firmicutes	0	0	0	0	0	0
GX2.bin062	Bacteroidetes	1	1	1	1	1	1
GX2.bin063	Firmicutes	1	1	1	0	1	0
GX2.bin064	Firmicutes	0	0	0	0	0	0
GX2.bin065	Firmicutes	0	0	0	0	0	0
GX2.bin068	Firmicutes	0	1	0	0	0	0
GX2.bin069	Verrucomicrobia	0	1	0	0	0	0
GX2.bin071	Firmicutes	0	1	0	0	0	0
GX2.bin072	Firmicutes	0	1	0	0	0	0
GX2.bin073	Firmicutes	0	0	0	0	0	0
GX2.bin074	Firmicutes	1	1	0	1	1	1
GX2.bin075	Firmicutes	0	1	0	0	0	0
GX2.bin076	Firmicutes	0	1	0	0	0	1
GX2.bin077	Synergistetes	0	0	0	0	0	0
GX2.bin078	Firmicutes	0	0	0	0	0	0
GX2.bin080	Verrucomicrobia	0	0	0	0	0	0
GX2.bin081	Firmicutes	0	1	0	0	0	0
GX2.bin082	Firmicutes	0	1	0	1	0	0
GX2.bin083	Firmicutes	0	0	0	0	0	0
GX2.bin084	Firmicutes	0	1	0	0	0	0
GX2.bin085	Bacteroidetes	1	1	1	1	1	1
GX2.bin086	Firmicutes	0	0	0	0	0	0
GX2.bin089	Actinobacteria	0	0	0	0	0	0
GX2.bin090	Proteobacteria	0	0	0	0	0	0
GX2.bin093	Bacteroidetes	1	1	1	1	1	1
GX2.bin094	Firmicutes	0	1	0	0	0	0
GX2.bin095	Firmicutes	0	0	0	0	0	0
GX2.bin096	Euryarchaeota	0	1	0	0	1	1
GX2.bin097	Firmicutes	0	0	0	0	0	1
GX2.bin099	Verrucomicrobia	0	0	0	0	0	0
GX2.bin100	Firmicutes	0	0	0	0	0	0
GX2.bin102	Verrucomicrobia	0	1	0	0	0	0
GX2.bin103	Firmicutes	0	0	0	0	0	0
GX2.bin105	Firmicutes	1	0	0	0	0	0
GX2.bin106	Euryarchaeota	0	0	0	0	0	0
GX2.bin107	Firmicutes	0	1	0	0	0	0
GX2.bin108	Firmicutes	0	1	0	0	0	0
GX2.bin109	Verrucomicrobia	0	0	0	0	0	0
GX2.bin110	Firmicutes	1	1	0	1	0	0
GX2.bin112	Firmicutes	0	1	0	0	0	0
GX2.bin113	Firmicutes	0	1	0	0	0	0
GX2.bin115	Firmicutes	0	1	0	0	0	0
GX2.bin118	Bacteroidetes	1	1	0	0	1	0
GX2.bin119	Euryarchaeota	0	0	0	0	0	0
GX2.bin121	Bacteroidetes	1	1	0	1	1	1
GX2.bin122	Bacteroidetes	1	1	0	0	1	0
GX2.bin124	Firmicutes	0	1	0	0	0	0
GX2.bin128	Firmicutes	1	1	1	1	1	1
GX2.bin129	Firmicutes	0	0	0	0	0	0
GX2.bin130	Firmicutes	0	0	0	0	0	0
GX2.bin131	Firmicutes	0	0	0	0	0	0
GX2.bin132	Firmicutes	0	1	0	0	1	0
GX2.bin133	Firmicutes	0	1	0	1	0	1
GX2.bin135	Candidatus Saccharibacteria	0	0	0	0	0	0
GX2.bin136	Firmicutes	0	0	0	0	0	0
GX2.bin138	Firmicutes	0	1	0	0	0	1
GX2.bin139	Firmicutes	0	0	0	0	0	0
GX2.bin142	Verrucomicrobia	0	0	0	0	0	0
GX2.bin145	Verrucomicrobia	0	0	0	0	0	0
GX2.bin146	Firmicutes	0	1	0	0	0	0
GX2.bin147	Spirochaetes	0	0	0	1	1	0
GX2.bin148	Firmicutes	0	1	0	0	0	0
GX2.bin149	Proteobacteria	0	0	0	0	0	0
GX2.bin150	Bacteroidetes	0	1	1	0	1	0
GX2.bin151	Firmicutes	0	1	0	0	0	0
GX2.bin152	Actinobacteria	0	0	0	0	0	1
GX2.bin153	Firmicutes	1	1	0	0	0	0
GX2.bin155	Actinobacteria	0	1	0	0	0	0
GX2.bin156	Firmicutes	0	1	0	0	0	0
GX2.bin157	Firmicutes	0	0	0	0	0	0
GX2.bin158	Lentisphaerae	0	0	0	0	0	0
GX2.bin159	Firmicutes	1	1	0	1	0	1
GX2.bin160	Bacteroidetes	1	1	1	1	1	0
GX2.bin164	Bacteroidetes	1	1	1	0	1	0
GX2.bin165	Firmicutes	0	0	0	0	0	0
GX2.bin167	Bacteroidetes	0	1	1	0	0	0
GX2.bin168	Firmicutes	0	0	0	0	0	0
GX2.bin169	Firmicutes	0	1	0	0	0	0
GX2.bin170	Firmicutes	0	1	0	0	0	0
GX2.bin171	Firmicutes	0	0	0	0	0	0
GX2.bin173	Firmicutes	0	1	0	0	0	1
GX2.bin174	Firmicutes	0	0	0	0	0	0
GX2.bin175	Firmicutes	0	0	0	0	0	0
GX3.bin002	Firmicutes	0	0	0	0	0	0
GX3.bin003	Firmicutes	0	1	0	0	0	1
GX3.bin004	Firmicutes	0	1	0	0	0	1
GX3.bin006	Firmicutes	0	1	0	1	0	1
GX3.bin007	Firmicutes	0	1	0	0	0	0
GX3.bin008	Firmicutes	0	1	0	1	0	1
GX3.bin010	Firmicutes	0	0	0	0	0	1
GX3.bin012	Firmicutes	0	1	0	1	1	0
GX3.bin016	Firmicutes	0	1	0	1	0	0
GX3.bin017	Firmicutes	0	0	0	0	0	0
GX3.bin018	Firmicutes	0	1	0	0	0	0
GX3.bin019	Firmicutes	0	1	0	1	0	0
GX3.bin020	Firmicutes	0	1	1	0	0	0
GX3.bin023	Firmicutes	0	1	0	1	0	0
GX3.bin024	Firmicutes	0	1	0	0	0	1
GX3.bin027	Actinobacteria	0	1	0	0	0	0
GX3.bin030	Firmicutes	0	1	0	0	0	0
GX3.bin032	Firmicutes	0	1	0	0	0	0
GX3.bin033	Firmicutes	0	0	0	0	0	0
GX3.bin036	Tenericutes	0	1	0	0	0	0
GX3.bin038	Firmicutes	0	0	0	0	0	0
GX3.bin039	Firmicutes	0	1	0	0	0	0
GX3.bin040	Firmicutes	0	1	0	1	0	0
GX3.bin042	Firmicutes	0	1	0	0	0	0
GX3.bin045	Firmicutes	0	1	0	0	0	0
GX3.bin050	Firmicutes	0	1	0	0	0	0
GX3.bin051	Firmicutes	0	0	0	0	0	0
GX3.bin053	Firmicutes	0	0	0	0	0	0
GX3.bin054	Firmicutes	1	1	0	1	1	1
GX3.bin055	Firmicutes	0	1	0	0	0	1
GX3.bin059	Firmicutes	1	1	1	1	1	1
GX3.bin060	Firmicutes	0	0	0	0	0	0
GX3.bin061	Firmicutes	0	1	0	1	0	0
GX3.bin062	Firmicutes	0	1	0	0	0	0
GX3.bin063	Firmicutes	0	1	0	0	0	0
GX3.bin065	Firmicutes	1	1	0	0	1	0
GX3.bin067	Firmicutes	0	1	0	0	0	0
GX3.bin069	Bacteroidetes	1	1	1	1	1	1
GX3.bin071	Firmicutes	1	1	1	0	0	0
GX3.bin074	Firmicutes	0	1	0	0	0	0
GX3.bin075	Firmicutes	0	1	0	1	0	1
GX3.bin076	Firmicutes	0	1	0	0	0	0
GX3.bin077	Firmicutes	0	1	0	0	0	0
GX3.bin079	Euryarchaeota	0	1	0	0	1	0
GX3.bin082	Firmicutes	0	1	0	0	0	0
GX3.bin083	Firmicutes	0	1	0	0	0	0
GX3.bin085	Candidatus Melainabacteria	0	1	0	0	1	0
GX3.bin086	Firmicutes	0	1	0	0	0	0
GX3.bin087	Firmicutes	0	1	0	0	0	1
GX3.bin088	Firmicutes	0	0	0	0	0	0
GX3.bin089	Firmicutes	1	1	1	1	1	1
GX3.bin090	Bacteroidetes	1	1	0	0	0	0
GX3.bin091	Firmicutes	0	1	0	1	0	0
GX3.bin094	Proteobacteria	0	0	0	0	0	0
GX3.bin097	Firmicutes	0	1	0	0	0	0
GX3.bin100	Firmicutes	0	1	0	0	0	1
GX3.bin101	Firmicutes	1	1	0	1	0	0
GX3.bin103	Firmicutes	0	1	0	1	1	0
GX3.bin107	Bacteroidetes	0	1	0	1	0	0
GX3.bin108	Firmicutes	0	1	0	0	0	0
GX3.bin109	Firmicutes	0	1	0	0	0	0
GX3.bin110	Firmicutes	1	1	0	0	0	0
GX3.bin112	Bacteroidetes	1	1	1	1	1	1
GX3.bin118	Firmicutes	0	1	0	1	1	1
GX3.bin119	Firmicutes	1	1	0	1	1	1
GX3.bin120	Firmicutes	0	1	0	0	0	0
GX3.bin121	Firmicutes	0	1	0	0	0	0
GX3.bin124	Firmicutes	1	1	1	1	1	1
GX3.bin129	Spirochaetes	0	1	1	1	1	0
GX3.bin131	Firmicutes	1	1	1	1	1	0
GX3.bin133	Spirochaetes	0	1	0	1	0	0
GX3.bin136	Firmicutes	0	1	0	0	0	0
GX3.bin140	Firmicutes	0	1	0	0	0	0
GX3.bin141	Firmicutes	1	1	0	1	1	1
GX3.bin144	Firmicutes	1	0	0	0	0	0
GX3.bin145	Firmicutes	0	0	0	0	1	0
GX3.bin146	Firmicutes	0	0	0	0	0	0
GX3.bin149	Firmicutes	0	1	0	0	0	0
GX3.bin150	Firmicutes	0	1	0	0	0	0
GX3.bin155	Firmicutes	1	1	1	1	0	0
GX3.bin157	Firmicutes	0	1	0	1	0	1
GX3.bin159	Firmicutes	0	1	0	1	0	0
GX3.bin161	Bacteroidetes	1	1	1	1	1	0
GX3.bin162	Firmicutes	0	1	0	0	0	0
GX3.bin164	Bacteroidetes	0	1	0	1	1	0
GX3.bin166	Firmicutes	0	0	0	0	0	0
GX3.bin170	Firmicutes	0	1	0	0	0	1
GX3.bin172	Firmicutes	0	0	0	0	0	0
GX3.bin173	Firmicutes	1	1	0	1	0	1
GX3.bin175	Firmicutes	0	1	0	0	0	0
GX3.bin176	Firmicutes	0	1	0	0	0	0
GX3.bin180	Firmicutes	1	1	0	1	1	0
GX3.bin182	Elusimicrobia	0	0	0	0	0	0
GX3.bin183	Firmicutes	0	0	0	1	1	0
GX3.bin185	Firmicutes	0	1	0	0	0	0
GX4.bin001	Firmicutes	1	1	0	0	0	0
GX4.bin002	Firmicutes	0	1	0	0	0	0
GX4.bin003	Firmicutes	0	0	0	0	0	0
GX4.bin005	Firmicutes	0	1	0	0	0	0
GX4.bin006	Bacteroidetes	1	1	1	1	1	0
GX4.bin007	Firmicutes	0	1	0	0	0	1
GX4.bin008	Firmicutes	0	0	0	1	0	0
GX4.bin009	Lentisphaerae	0	0	0	1	0	0
GX4.bin011	Candidatus Melainabacteria	0	1	0	0	0	0
GX4.bin013	Firmicutes	0	0	0	0	0	0
GX4.bin014	Proteobacteria	0	0	0	0	0	0
GX4.bin015	Firmicutes	0	0	0	0	0	0
GX4.bin017	Firmicutes	0	1	0	0	0	0
GX4.bin018	Firmicutes	0	0	0	0	0	0
GX4.bin023	Firmicutes	0	0	0	0	0	0
GX4.bin024	Firmicutes	0	1	0	0	0	0
GX4.bin027	Firmicutes	0	0	0	0	0	0
GX4.bin028	Firmicutes	0	0	0	0	0	0
GX4.bin029	Firmicutes	0	1	0	0	0	0
GX4.bin030	Firmicutes	0	0	0	0	0	0
GX4.bin032	Firmicutes	0	1	0	0	0	0
GX4.bin033	Proteobacteria	1	0	1	1	0	0
GX4.bin034	Firmicutes	1	1	0	1	0	1
GX4.bin035	Firmicutes	0	1	0	1	1	1
GX4.bin036	Bacteroidetes	0	0	0	0	0	0
GX4.bin038	Verrucomicrobia	0	1	0	0	0	0
GX4.bin039	Firmicutes	0	1	0	0	0	0
GX4.bin041	Firmicutes	0	0	0	0	0	0
GX4.bin043	Verrucomicrobia	0	0	0	1	0	0
GX4.bin044	Firmicutes	0	0	0	0	0	0
GX4.bin045	Firmicutes	0	1	0	1	1	1
GX4.bin046	Firmicutes	0	1	0	0	0	1
GX4.bin052	Firmicutes	0	0	0	0	0	0
GX4.bin057	Bacteroidetes	1	1	1	1	1	1
GX4.bin059	Firmicutes	0	0	0	0	0	0
GX4.bin060	Firmicutes	0	0	0	0	0	0
GX4.bin062	Firmicutes	0	1	0	0	0	0
GX4.bin063	Euryarchaeota	0	0	0	0	0	0
GX4.bin065	Firmicutes	0	0	0	0	0	0
GX4.bin069	Firmicutes	0	0	1	1	0	0
GX4.bin070	Verrucomicrobia	0	1	0	0	0	0
GX4.bin072	Proteobacteria	0	0	0	1	0	1
GX4.bin077	Verrucomicrobia	0	1	0	0	0	0
GX4.bin078	Euryarchaeota	0	1	0	0	0	1
GX4.bin083	Firmicutes	0	0	0	0	0	0
GX4.bin084	Actinobacteria	0	0	0	0	0	0
GX4.bin085	Actinobacteria	0	1	0	0	0	1
GX4.bin087	Firmicutes	0	0	0	0	0	0
GX4.bin088	Firmicutes	0	1	0	0	0	0
GX4.bin089	Candidatus Saccharibacteria	0	0	0	0	0	0
GX4.bin090	Firmicutes	0	1	0	0	0	0
GX4.bin092	Firmicutes	0	0	0	0	0	0
GX4.bin093	Firmicutes	0	0	0	0	0	0
GX4.bin098	Firmicutes	0	0	0	0	0	0
GX4.bin099	Firmicutes	0	1	0	1	0	0
GX4.bin100	Verrucomicrobia	0	0	0	0	0	0
GX4.bin102	Firmicutes	1	0	0	1	1	0
GX4.bin104	Firmicutes	0	0	0	0	0	0
GX4.bin105	Firmicutes	0	1	0	0	0	0
GX4.bin106	Proteobacteria	0	0	0	0	0	0
GX4.bin108	Bacteroidetes	0	1	1	0	1	0
GX4.bin117	Firmicutes	0	1	0	0	0	0
GX4.bin121	Firmicutes	0	1	0	0	0	0
GX4.bin122	Firmicutes	0	0	0	0	0	0
GX4.bin126	Firmicutes	0	0	0	0	0	0
GX4.bin127	Firmicutes	0	0	0	0	0	0
GX4.bin131	Firmicutes	0	0	0	0	0	0
GX4.bin132	Firmicutes	0	0	0	0	0	0
GX4.bin134	Firmicutes	0	1	0	0	0	0
GX4.bin135	Firmicutes	1	1	1	1	1	1
GX4.bin136	Tenericutes	0	0	0	0	0	0
GX4.bin137	Actinobacteria	0	1	0	0	0	0
GX4.bin139	Firmicutes	0	1	0	0	0	1
GX4.bin144	Bacteroidetes	0	0	0	1	1	0
GX4.bin145	Firmicutes	0	1	0	0	0	0
GX4.bin146	Firmicutes	0	1	0	0	0	1
GX4.bin147	Firmicutes	0	0	0	0	0	0
GX4.bin149	Lentisphaerae	0	0	0	0	0	0
GX4.bin152	Bacteroidetes	0	1	0	0	0	0
GX5.bin002	Firmicutes	0	0	0	0	0	0
