SGBs	phylum	AH	GX	JL	SD	SX	XZ
AH2.bin072	Euryarchaeota	0	0	0	1	1	0
AH2.bin073	Firmicutes	0	0	0	0	0	0
AH2.bin075	Firmicutes	1	1	1	1	1	1
AH2.bin076	Firmicutes	0	0	0	0	1	0
AH2.bin079	Bacteroidetes	1	1	1	1	1	1
AH2.bin080	Firmicutes	1	0	0	0	0	0
AH2.bin081	Lentisphaerae	0	0	0	1	0	0
AH2.bin082	Firmicutes	0	0	0	0	0	0
AH2.bin083	Firmicutes	0	0	0	0	0	0
AH2.bin085	Firmicutes	0	0	0	0	0	0
AH2.bin088	Firmicutes	0	0	0	0	0	1
AH2.bin089	Firmicutes	0	0	0	0	0	0
AH2.bin090	Firmicutes	0	0	0	0	0	0
AH2.bin091	Firmicutes	0	0	0	0	0	0
AH2.bin094	Firmicutes	0	0	0	0	0	0
AH2.bin095	Firmicutes	0	0	1	0	0	0
AH2.bin099	Firmicutes	1	1	1	1	1	1
AH2.bin100	Firmicutes	1	1	1	1	1	1
AH2.bin101	Firmicutes	0	0	0	0	0	1
AH2.bin102	Firmicutes	0	0	0	0	0	0
AH2.bin104	Firmicutes	0	0	0	0	0	0
AH2.bin106	Firmicutes	0	0	0	0	0	0
AH2.bin107	Firmicutes	0	1	0	1	0	1
AH2.bin108	Firmicutes	1	0	0	0	0	0
AH2.bin111	Firmicutes	0	0	0	0	0	0
AH2.bin114	Firmicutes	0	0	0	0	0	0
AH2.bin115	Firmicutes	1	1	1	1	1	1
AH2.bin116	Firmicutes	0	0	0	0	0	0
AH2.bin117	Firmicutes	0	1	0	0	0	0
AH2.bin118	Firmicutes	0	1	0	0	0	0
AH2.bin120	Firmicutes	0	0	0	1	0	1
AH2.bin122	Lentisphaerae	0	0	0	0	1	0
AH2.bin124	Firmicutes	1	0	0	0	0	0
AH2.bin125	Firmicutes	0	0	0	0	0	0
AH2.bin127	Firmicutes	1	0	0	1	1	1
AH2.bin128	Firmicutes	0	0	0	0	0	0
AH2.bin130	Actinobacteria	1	0	0	0	0	0
AH2.bin131	Firmicutes	0	0	1	0	0	0
AH2.bin132	Firmicutes	1	0	0	0	0	0
AH2.bin133	Firmicutes	1	1	1	1	1	0
AH2.bin135	Firmicutes	0	0	0	0	0	0
AH2.bin136	Bacteroidetes	1	1	1	1	1	1
AH2.bin138	Spirochaetes	0	0	1	1	1	0
AH2.bin140	Firmicutes	1	1	1	1	1	1
AH2.bin141	Firmicutes	0	0	0	0	0	0
